t1,t2
1620370815:933771469,1620370815:933772600
1620370816:933873709,1620370816:933874823
1620370817:933872649,1620370817:933873782
1620370818:933971769,1620370818:933972901
1620370819:933918769,1620370819:933919905
1620370820:933840449,1620370820:933841573
1620370821:933848809,1620370821:933849943
1620370822:933909209,1620370822:933910331
1620370823:933961229,1620370823:933962351
1620370824:933924169,1620370824:933925283
1620370825:933911749,1620370825:933912885
1620370826:933881529,1620370826:933882643
1620370827:933940309,1620370827:933941453
1620370828:934415289,1620370828:934416406
1620370829:934005129,1620370829:934006273
1620370830:934147449,1620370830:934148576
1620370831:933936869,1620370831:933938008
1620370832:934051889,1620370832:934053011
1620370833:934013989,1620370833:934015116
1620370834:934079549,1620370834:934080681
1620370835:934087429,1620370835:934088566
1620370836:934065069,1620370836:934066193
1620370837:933977089,1620370837:933978226
1620370838:933982889,1620370838:933984035
1620370839:934048369,1620370839:934049512
1620370840:934302569,1620370840:934303725
1620370841:934076489,1620370841:934077650
1620370842:934075029,1620370842:934076201
1620370843:934120649,1620370843:934121837
1620370844:934122829,1620370844:934124017
1620370845:934081909,1620370845:934083097
1620370846:934133549,1620370846:934134745
1620370847:934152209,1620370847:934153410
1620370848:934101889,1620370848:934103090
1620370849:934276069,1620370849:934277287
1620370850:934132829,1620370850:934134033
1620370851:934292289,1620370851:934293497
1620370852:934391669,1620370852:934392876
1620370853:934504189,1620370853:934505365
1620370854:934092809,1620370854:934094007
1620370855:934108529,1620370855:934109707
1620370856:934595309,1620370856:934596495
1620370857:935573489,1620370857:935574673
1620370858:936454949,1620370858:936456116
1620370859:936172529,1620370859:936173708
1620370860:936177809,1620370860:936178983
1620370861:936289229,1620370861:936290395
1620370862:936237829,1620370862:936238986
1620370863:936301809,1620370863:936302965
1620370864:936208969,1620370864:936210126
1620370865:936306049,1620370865:936307188
1620370866:936227529,1620370866:936228673
1620370867:936300709,1620370867:936301835
1620370868:936313609,1620370868:936314748
1620370869:936287929,1620370869:936289065
1620370870:936504529,1620370870:936505636
1620370871:936341509,1620370871:936342643
1620370872:936238929,1620370872:936240058
1620370873:936386289,1620370873:936387421
1620370874:936336889,1620370874:936338023
1620370875:935730309,1620370875:935731465
1620370876:936151149,1620370876:936152292
1620370877:936515109,1620370877:936516273
1620370878:936429429,1620370878:936430597
1620370879:935828949,1620370879:935830127
1620370880:936386229,1620370880:936387411
1620370881:936486269,1620370881:936487441
1620370882:936398809,1620370882:936400002
